L1MarksClass,L2MarksClass,L3MarksClass,S1MarksClass,S2MarksClass,S2MarksClass,NRC_CLASS
1,1,1,D,D,D,1
D,D,D,D,D,D,1
P,P,P,D,D,D,P
D,D,D,D,D,D,1
P,D,P,D,D,D,P
F,P,F,D,D,D,F
1,P,P,D,D,D,P
1,F,F,D,D,D,F
1,1,2,D,D,D,P
D,D,2,D,D,D,1
1,P,P,D,D,D,P
D,1,D,D,D,D,1
1,1,1,D,D,D,1
F,F,F,D,D,D,F
P,P,P,D,D,D,P
D,P,2,D,D,D,2
D,D,D,D,D,D,D   
1,1,D,D,D,D,1
P,P,F,D,D,D,F
D,D,2,D,D,D,1
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
1,2,2,D,D,D,2
1,1,2,D,D,D,1
1,2,P,D,D,D,2
D,F,D,D,D,D,F
D,D,D,D,D,D,1
P,1,P,D,D,D,P
N/A,N/A,D,D,D,D,F
D,P,P,D,D,D,2
D,D,D,D,D,D,1
1,D,1,D,D,D,1
1,2,1,D,D,D,2
D,D,D,D,D,D,1
2,1,2,D,D,D,2
2,D,1,D,D,D,1
P,P,P,D,D,D,P
1,D,D,D,D,D,1
F,P,P,D,D,D,F
P,F,P,D,D,D,F
D,D,D,D,D,D,D   
D,1,1,D,D,D,1
1,1,1,D,D,D,1
F,D,D,D,D,D,F
D,D,D,D,D,D,D   
F,P,F,D,D,D,F
F,F,F,D,D,D,F
D,1,1,D,D,D,1
D,D,D,D,D,D,1
1,D,1,D,D,D,1
D,D,P,D,D,D,2
2,D,P,D,D,D,2
P,P,P,D,D,D,F
1,D,1,D,D,D,1
F,F,D,D,D,D,F
F,2,P,D,D,D,F
1,2,1,D,D,D,2
D,1,D,D,D,D,1
1,1,1,D,D,D,1
F,2,2,D,D,D,F
D,1,P,D,D,D,2
D,2,1,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
D,2,1,D,D,D,1
F,2,P,D,D,D,F
1,2,P,D,D,D,P
1,1,2,D,D,D,1
2,2,P,D,D,D,P
D,D,1,D,D,D,1
D,D,D,D,D,D,1
1,P,F,D,D,D,F
2,2,2,D,D,D,2
F,P,P,D,D,D,F
D,D,D,D,D,D,D   
1,2,2,D,D,D,2
F,F,F,D,D,D,F
D,1,1,D,D,D,1
D,D,D,D,D,D,P
2,D,D,D,D,D,P
P,P,1,D,D,D,P
2,P,F,D,D,D,F
1,P,P,D,D,D,2
D,D,D,D,D,D,1
D,1,D,D,D,D,1
P,2,P,D,D,D,P
D,D,D,D,D,D,1
P,1,P,D,D,D,P
P,P,P,D,D,D,F
D,D,D,D,D,D,1
D,P,D,D,D,D,1
2,1,P,D,D,D,2
D,D,1,D,D,D,1
D,D,D,D,D,D,F
D,D,D,D,D,D,1
D,2,D,D,D,D,1
F,F,F,D,D,D,F
P,F,F,D,D,D,F
P,P,P,D,D,D,F
F,P,P,D,D,D,F
D,D,2,D,D,D,1
F,2,P,D,D,D,F
D,D,D,D,D,D,1
F,P,F,D,D,D,F
D,D,D,D,D,D,D   
P,1,P,D,D,D,P
1,P,P,D,D,D,P
F,D,D,D,D,D,F
D,P,2,D,D,D,2
D,D,P,D,D,D,P
1,P,1,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
2,P,2,D,D,D,2
1,D,2,D,D,D,1
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
1,D,D,D,D,D,1
F,F,P,D,D,D,F
2,P,2,D,D,D,P
D,D,D,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
D,D,D,D,D,D,D   
1,2,P,D,D,D,2
1,2,P,D,D,D,P
D,P,2,D,D,D,2
F,P,F,D,D,D,F
P,1,P,D,D,D,P
D,D,1,D,D,D,1
D,2,P,D,D,D,1
D,D,D,D,D,D,1
D,D,1,D,D,D,1
D,2,1,D,D,D,2
F,F,D,D,D,D,F
F,D,P,D,D,D,F
1,1,D,D,D,D,1
F,F,F,D,D,D,F
1,D,D,D,D,D,1
1,D,D,D,D,D,1
P,1,P,D,D,D,P
2,D,P,D,D,D,2
2,P,1,D,D,D,P
1,2,P,D,D,D,F
1,P,P,D,D,D,P
D,D,D,D,D,D,1
P,P,P,D,D,D,P
1,D,D,D,D,D,1
1,P,F,D,D,D,F
P,1,P,D,D,D,P
1,D,D,D,D,D,1
1,2,D,D,D,D,2
1,P,1,D,D,D,P
F,F,F,D,D,D,F
F,F,P,D,D,D,F
P,F,P,D,D,D,F
2,F,2,D,D,D,F
F,P,P,D,D,D,F
D,D,1,D,D,D,1
F,F,F,D,D,D,F
D,2,2,D,D,D,2
1,D,1,D,D,D,1
1,P,1,D,D,D,P
2,2,P,D,D,D,P
P,2,2,D,D,D,P
2,2,P,D,D,D,P
D,D,1,D,D,D,1
1,D,D,D,D,D,1
P,F,F,D,D,D,F
F,P,P,D,D,D,F
D,P,2,D,D,D,2
1,P,2,D,D,D,P
D,D,1,D,D,D,1
1,2,P,D,D,D,2
2,P,2,D,D,D,P
P,1,P,D,D,D,P
1,D,1,D,D,D,1
P,F,P,D,D,D,F
F,D,2,D,D,D,F
1,D,1,D,D,D,1
D,D,F,D,D,D,F
D,1,D,D,D,D,1
D,P,P,D,D,D,P
D,D,D,D,D,D,D   
F,F,F,D,D,D,F
D,D,D,D,D,D,1
1,D,D,D,D,D,1
D,D,1,D,D,D,1
P,1,2,D,D,D,P
D,P,P,D,D,D,P
D,P,1,D,D,D,1
P,2,F,D,D,D,F
D,D,D,D,D,D,D   
1,D,1,D,D,D,1
P,D,1,D,D,D,P
1,P,P,D,D,D,P
D,D,D,D,D,D,1
F,D,D,D,D,D,F
D,P,F,D,D,D,F
F,F,F,D,D,D,F
2,1,1,D,D,D,2
F,P,P,D,D,D,F
D,D,D,D,D,D,D   
F,P,P,D,D,D,F
D,D,D,D,D,D,1
1,2,D,D,D,D,2
1,1,P,D,D,D,P
D,D,D,D,D,D,1
D,D,D,D,D,D,D   
D,D,1,D,D,D,1
2,1,P,D,D,D,P
F,F,F,D,D,D,F
D,D,1,D,D,D,1
1,D,D,D,D,D,1
1,1,D,D,D,D,1
D,1,1,D,D,D,1
P,1,1,D,D,D,2
F,F,D,D,D,D,F
P,P,F,D,D,D,F
D,D,D,D,D,D,D   
F,P,P,D,D,D,F
D,1,D,D,D,D,1
1,2,1,D,D,D,2
D,D,D,D,D,D,1
2,P,2,D,D,D,P
P,F,F,D,D,D,F
N/A,N/A,N/A,N/A,N/A,N/A,F
D,1,1,D,D,D,1
P,1,2,D,D,D,P
2,D,P,D,D,D,2
1,F,2,D,D,D,F
D,D,D,D,D,D,F
2,1,P,D,D,D,P
P,D,D,D,D,D,1
F,F,2,D,D,D,F
1,P,1,D,D,D,P
D,1,P,D,D,D,2
D,D,D,D,D,D,D   
P,P,P,D,D,D,P
2,P,P,D,D,D,P
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
F,D,D,D,D,D,F
D,1,D,D,D,D,1
P,1,2,D,D,D,P
P,1,P,D,D,D,P
P,2,P,D,D,D,P
2,P,F,D,D,D,F
P,2,F,D,D,D,F
D,D,1,D,D,D,1
F,2,F,D,D,D,F
1,D,1,D,D,D,1
2,1,D,D,D,D,1
2,1,2,D,D,D,P
1,2,1,D,D,D,1
1,1,1,D,D,D,2
D,N/A,D,D,D,D,F
F,F,F,D,D,D,F
D,D,D,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
1,P,1,D,D,D,1
D,D,D,D,D,D,1
D,D,1,D,D,D,1
D,D,D,D,D,D,D   
F,F,F,D,D,D,F
F,P,F,D,D,D,F
1,2,1,D,D,D,2
D,D,D,D,D,D,1
1,D,D,D,D,D,1
D,D,D,D,D,D,1
D,1,2,D,D,D,1
P,1,1,D,D,D,2
F,D,F,D,D,D,F
P,1,P,D,D,D,P
2,1,2,D,D,D,2
1,D,D,D,D,D,1
D,D,D,D,D,D,F
P,P,F,D,D,D,F
D,D,1,D,D,D,1
2,1,P,D,D,D,2
F,D,D,D,D,D,F
F,F,F,D,D,D,F
D,P,F,D,D,D,F
D,D,D,D,D,D,D   
1,P,P,D,D,D,P
1,D,1,D,D,D,1
2,P,2,D,D,D,P
2,P,1,D,D,D,P
P,F,P,D,D,D,F
1,P,P,D,D,D,P
1,D,1,D,D,D,1
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
P,2,P,D,D,D,P
D,D,D,D,D,D,1
F,D,D,D,D,D,F
1,D,1,D,D,D,1
1,D,2,D,D,D,1
2,P,P,D,D,D,P
F,F,F,D,D,D,F
D,D,D,D,D,D,1
D,1,D,D,D,D,1
D,D,D,D,D,D,F
D,1,D,D,D,D,1
D,2,2,D,D,D,2
F,F,P,D,D,D,F
2,P,1,D,D,D,P
P,P,P,D,D,D,P
D,1,P,D,D,D,2
D,F,2,D,D,D,F
P,F,P,D,D,D,F
D,1,D,D,D,D,1
1,P,1,D,D,D,2
D,D,D,D,D,D,D   
1,P,2,D,D,D,P
1,F,P,D,D,D,F
2,P,P,D,D,D,P
D,2,D,D,D,D,1
1,D,P,D,D,D,2
1,P,P,D,D,D,P
1,D,1,D,D,D,1
1,2,P,D,D,D,2
1,D,2,D,D,D,1
2,P,P,D,D,D,P
1,1,P,D,D,D,2
1,D,2,D,D,D,1
D,D,1,D,D,D,1
P,F,F,D,D,D,F
1,P,D,D,D,D,2
D,D,D,D,D,D,D   
D,1,D,D,D,D,1
D,1,2,D,D,D,1
1,D,D,D,D,D,1
P,P,F,D,D,D,F
F,2,F,D,D,D,F
F,F,F,D,D,D,F
1,P,P,D,D,D,P
1,1,1,D,D,D,2
D,1,1,D,D,D,1
P,1,P,D,D,D,P
F,F,F,D,D,D,F
D,D,D,D,D,D,1
P,P,P,D,D,D,P
1,1,D,D,D,D,2
P,F,P,D,D,D,F
D,2,D,D,D,D,2
D,D,D,D,D,D,P
1,D,P,D,D,D,1
1,1,1,D,D,D,1
1,D,2,D,D,D,1
D,D,D,D,D,D,1
1,1,2,D,D,D,2
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
F,F,F,D,D,D,F
P,P,P,D,D,D,F
1,D,P,D,D,D,2
1,D,D,D,D,D,1
1,2,2,D,D,D,2
2,P,P,D,D,D,F
P,P,P,D,D,D,P
1,P,1,D,D,D,2
1,F,1,D,D,D,F
D,1,D,D,D,D,1
P,2,2,D,D,D,P
P,1,P,D,D,D,2
1,P,P,D,D,D,2
F,D,D,D,D,D,F
D,D,D,D,D,D,D   
1,P,2,D,D,D,2
D,D,1,D,D,D,1
D,D,D,D,D,D,1
D,D,D,D,D,D,1
D,D,D,D,D,D,P
D,D,2,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
1,P,P,D,D,D,P
D,D,D,D,D,D,D   
P,P,2,D,D,D,P
P,1,P,D,D,D,2
P,1,1,D,D,D,2
2,P,P,D,D,D,P
D,D,F,D,D,D,F
D,P,D,D,D,D,1
D,D,D,D,D,D,1
D,D,D,D,D,D,D   
F,F,F,D,D,D,F
D,D,D,D,D,D,1
D,D,D,D,D,D,1
F,F,F,D,D,D,F
1,2,2,D,D,D,1
F,F,P,D,D,D,F
F,2,P,D,D,D,F
2,2,P,D,D,D,P
D,F,F,D,D,D,F
F,P,P,D,D,D,F
1,1,1,D,D,D,2
1,2,2,D,D,D,2
D,2,D,D,D,D,1
D,D,D,D,D,D,D   
F,F,F,D,D,D,F
D,1,D,D,D,D,1
D,D,F,D,D,D,F
D,D,D,D,D,D,D   
2,1,D,D,D,D,1
2,F,P,D,D,D,F
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
1,2,F,D,D,D,F
P,D,2,D,D,D,2
D,1,1,D,D,D,1
D,1,1,D,D,D,1
F,D,D,D,D,D,F
P,2,P,D,D,D,P
D,D,1,D,D,D,1
1,2,2,D,D,D,2
F,F,P,D,D,D,F
F,2,P,D,D,D,F
1,D,D,D,D,D,1
F,P,P,D,D,D,F
D,1,D,D,D,D,1
D,D,D,D,D,D,D   
F,1,F,D,D,D,F
1,D,1,D,D,D,1
P,P,P,D,D,D,P
F,P,P,D,D,D,F
2,P,P,D,D,D,P
D,D,1,D,D,D,1
1,P,2,D,D,D,2
D,D,1,D,D,D,1
2,D,1,D,D,D,1
D,P,2,D,D,D,2
D,D,1,D,D,D,1
F,2,F,D,D,D,F
D,D,D,D,D,D,1
P,1,1,D,D,D,2
D,P,2,D,D,D,2
N/A,N/A,N/A,N/A,N/A,N/A,F
D,2,2,D,D,D,1
D,D,D,D,D,D,D   
1,D,1,D,D,D,1
1,1,1,D,D,D,1
P,1,P,D,D,D,P
1,2,F,D,D,D,F
F,D,D,D,D,D,F
1,D,1,D,D,D,1
1,D,1,D,D,D,1
2,P,P,D,D,D,P
P,1,P,D,D,D,P
D,N/A,N/A,N/A,N/A,N/A,F
F,F,F,D,D,D,F
D,D,D,D,D,D,1
2,D,1,D,D,D,1
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
2,P,P,D,D,D,P
D,D,D,D,D,D,D   
1,1,D,D,D,D,1
D,D,1,D,D,D,1
P,1,1,D,D,D,P
1,D,D,D,D,D,P
1,D,D,D,D,D,1
P,D,P,D,D,D,F
D,F,P,D,D,D,F
F,F,F,D,D,D,F
F,P,P,D,D,D,F
D,P,1,D,D,D,1
F,F,D,D,D,D,F
2,P,D,D,D,D,2
P,2,2,D,D,D,P
P,F,F,D,D,D,F
P,D,P,D,D,D,P
1,D,1,D,D,D,2
1,P,P,D,D,D,F
P,D,2,D,D,D,2
F,P,F,D,D,D,F
1,F,F,D,D,D,F
2,1,P,D,D,D,2
P,D,P,D,D,D,P
D,1,1,D,D,D,1
D,F,P,D,D,D,F
D,2,1,D,D,D,1
P,D,1,D,D,D,1
D,2,1,D,D,D,1
P,P,F,D,D,D,F
1,1,1,D,D,D,1
F,F,2,D,D,D,F
D,D,D,D,D,D,1
D,1,1,D,D,D,1
P,2,2,D,D,D,P
D,D,2,D,D,D,2
F,P,P,D,D,D,F
F,F,F,D,D,D,F
D,D,D,D,D,D,D   
F,2,F,D,D,D,F
D,D,D,D,D,D,D   
D,2,P,D,D,D,P
1,F,P,D,D,D,F
F,D,D,D,D,D,F
D,1,P,D,D,D,1
D,D,D,D,D,D,D   
1,F,1,D,D,D,F
D,2,D,D,D,D,1
D,D,2,D,D,D,1
1,1,P,D,D,D,2
P,F,F,D,D,D,F
F,P,P,D,D,D,F
N/A,N/A,N/A,N/A,N/A,N/A,F
2,F,F,D,D,D,F
1,2,D,D,D,D,2
2,F,F,D,D,D,F
P,P,P,D,D,D,P
D,1,2,D,D,D,1
2,P,P,D,D,D,P
F,P,F,D,D,D,F
1,D,2,D,D,D,2
1,P,2,D,D,D,2
P,2,P,D,D,D,P
D,D,D,D,D,D,D   
D,D,1,D,D,D,1
1,1,1,D,D,D,1
D,D,D,D,D,D,D   
D,2,P,D,D,D,2
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
D,2,D,D,D,D,1
D,D,D,D,D,D,D   
1,D,D,D,D,D,1
1,D,D,D,D,D,1
D,D,D,D,D,D,1
1,D,1,D,D,D,1
2,P,P,D,D,D,P
D,F,F,D,D,D,1
D,D,P,D,D,D,2
2,2,1,D,D,D,P
D,1,D,D,D,D,1
2,D,D,D,D,D,1
D,P,2,D,D,D,2
1,D,P,D,D,D,2
F,F,D,D,D,D,F
F,P,F,D,D,D,F
2,D,P,D,D,D,2
D,D,D,D,D,D,1
D,P,2,D,D,D,2
1,F,2,D,D,D,F
2,P,2,D,D,D,P
F,P,P,D,D,D,F
P,2,P,D,D,D,P
F,1,2,D,D,D,F
F,P,F,D,D,D,F
D,P,D,D,D,D,1
D,P,D,D,D,D,P
D,D,D,D,D,D,1
P,F,F,D,D,D,F
D,D,D,D,D,D,D   
P,1,1,D,D,D,2
P,1,2,D,D,D,P
1,P,2,D,D,D,P
D,D,D,D,D,D,1
P,P,2,D,D,D,P
F,F,F,D,D,D,F
D,1,2,D,D,D,1
D,D,F,D,D,D,F
1,D,2,D,D,D,1
D,1,1,D,D,D,1
P,P,P,D,D,D,P
D,1,1,D,D,D,1
P,P,P,D,D,D,P
F,P,P,D,D,D,F
D,2,D,D,D,D,1
P,F,P,D,D,D,F
D,D,D,D,D,D,D   
F,D,P,D,D,D,F
D,N/A,D,D,D,D,F
1,2,P,D,D,D,F
F,F,F,D,D,D,F
1,D,P,D,D,D,2
D,D,D,D,D,D,1
D,1,D,D,D,D,1
1,P,P,D,D,D,2
D,D,D,D,D,D,D   
1,P,2,D,D,D,2
F,F,F,D,D,D,F
P,P,P,D,D,D,P
P,2,P,D,D,D,P
F,P,P,D,D,D,F
D,D,D,D,D,D,D   
P,P,P,D,D,D,P
1,P,F,D,D,D,F
D,2,1,D,D,D,1
1,P,P,D,D,D,F
2,D,2,D,D,D,2
D,D,D,D,D,D,1
D,P,P,D,D,D,P
P,1,D,D,D,D,1
D,D,1,D,D,D,1
D,D,1,D,D,D,1
P,2,P,D,D,D,P
D,D,D,D,D,D,D   
D,2,2,D,D,D,2
P,P,F,D,D,D,F
2,P,2,D,D,D,2
F,P,P,D,D,D,F
P,P,2,D,D,D,P
D,2,P,D,D,D,2
D,D,D,D,D,D,D   
2,2,P,D,D,D,P
1,1,1,D,D,D,1
2,P,1,D,D,D,2
1,1,D,D,D,D,1
F,F,P,D,D,D,F
P,P,P,D,D,D,P
P,P,F,D,D,D,F
1,D,2,D,D,D,2
F,D,D,D,D,D,F
D,F,F,D,D,D,F
D,D,P,D,D,D,P
F,P,F,D,D,D,F
D,D,P,D,D,D,P
1,D,1,D,D,D,1
D,D,D,D,D,D,D   
D,D,P,D,D,D,P
F,P,P,D,D,D,F
F,D,D,D,D,D,F
2,P,P,D,D,D,P
D,P,P,D,D,D,P
D,2,1,D,D,D,2
1,F,P,D,D,D,F
D,D,D,D,D,D,1
2,P,P,D,D,D,P
P,F,P,D,D,D,F
P,1,P,D,D,D,P
D,D,1,D,D,D,1
1,1,1,D,D,D,2
1,2,P,D,D,D,2
P,D,P,D,D,D,2
D,D,1,D,D,D,1
2,F,F,D,D,D,P
D,D,D,D,D,D,F
P,P,1,D,D,D,P
N/A,N/A,N/A,N/A,N/A,N/A,F
1,D,1,D,D,D,1
F,P,F,D,D,D,F
P,F,P,D,D,D,F
1,D,1,D,D,D,2
2,P,P,D,D,D,P
D,2,1,D,D,D,2
P,1,2,D,D,D,1
1,D,1,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
P,P,F,D,D,D,F
D,D,D,D,D,D,D   
1,D,1,D,D,D,1
1,P,P,D,D,D,P
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
1,2,2,D,D,D,P
2,1,2,D,D,D,2
D,D,P,D,D,D,P
2,D,2,D,D,D,1
1,1,2,D,D,D,2
P,P,P,D,D,D,P
D,D,D,D,D,D,D   
F,D,P,D,D,D,F
1,1,P,D,D,D,2
1,D,2,D,D,D,1
F,D,P,D,D,D,F
2,1,P,D,D,D,2
D,D,D,D,D,D,D   
1,P,1,D,D,D,2
F,P,D,D,D,D,F
P,P,2,D,D,D,P
P,D,1,D,D,D,2
1,P,2,D,D,D,P
D,P,1,D,D,D,2
P,P,P,D,D,D,P
2,1,2,D,D,D,P
1,D,D,D,D,D,1
P,D,2,D,D,D,2
1,1,2,D,D,D,2
D,D,D,D,D,D,D   
1,D,1,D,D,D,1
P,P,P,D,D,D,F
2,P,P,D,D,D,P
F,F,P,D,D,D,F
1,1,1,D,D,D,2
P,F,P,D,D,D,F
D,P,D,D,D,D,1
D,D,D,D,D,D,1
1,P,P,D,D,D,2
1,P,P,D,D,D,2
D,D,D,D,D,D,D   
1,D,D,D,D,D,1
F,F,F,D,D,D,F
1,1,2,D,D,D,2
F,F,F,D,D,D,F
D,1,D,D,D,D,1
P,D,D,D,D,D,F
P,D,1,D,D,D,1
D,D,2,D,D,D,2
D,1,1,D,D,D,1
D,1,1,D,D,D,1
D,2,D,D,D,D,1
D,D,D,D,D,D,P
D,D,D,D,D,D,1
F,D,1,D,D,D,F
P,P,F,D,D,D,F
D,1,1,D,D,D,1
D,D,D,D,D,D,1
P,P,P,D,D,D,F
1,D,D,D,D,D,1
1,P,P,D,D,D,P
2,2,P,D,D,D,P
1,1,1,D,D,D,1
D,1,D,D,D,D,1
1,P,P,D,D,D,2
1,D,D,D,D,D,1
F,2,P,D,D,D,F
1,P,P,D,D,D,2
P,P,F,D,D,D,F
P,2,P,D,D,D,F
D,1,D,D,D,D,2
F,F,P,D,D,D,F
F,F,F,D,D,D,F
P,P,P,D,D,D,P
D,D,D,D,D,D,D   
F,2,F,D,D,D,F
P,P,F,D,D,D,F
D,D,D,D,D,D,P
P,2,2,D,D,D,P
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
P,P,1,D,D,D,F
F,D,D,D,D,D,F
P,P,P,D,D,D,P
1,P,P,D,D,D,P
D,D,D,D,D,D,D   
D,1,2,D,D,D,1
D,2,1,D,D,D,1
D,2,P,D,D,D,2
1,2,D,D,D,D,2
D,D,D,D,D,D,D   
D,D,D,D,D,D,F
N/A,N/A,D,D,D,D,F
P,F,F,D,D,D,F
F,F,F,D,D,D,F
1,1,2,D,D,D,1
1,P,2,D,D,D,P
D,D,D,D,D,D,1
1,P,1,D,D,D,2
1,D,D,D,D,D,1
1,D,1,D,D,D,1
D,D,D,D,D,D,1
F,D,D,D,D,D,F
P,1,2,D,D,D,P
F,P,P,D,D,D,F
D,D,D,D,D,D,1
P,1,P,D,D,D,P
D,P,D,D,D,D,P
1,P,P,D,D,D,2
F,P,P,D,D,D,F
D,D,D,D,D,D,1
1,P,1,D,D,D,2
1,1,1,D,D,D,1
D,1,D,D,D,D,1
F,D,D,D,D,D,F
D,D,D,D,D,D,D   
D,2,2,D,D,D,1
F,F,F,D,D,D,F
P,P,F,D,D,D,F
P,1,P,D,D,D,P
1,2,2,D,D,D,F
P,P,P,D,D,D,P
1,D,P,D,D,D,1
D,D,D,D,D,D,D   
D,D,P,D,D,D,1
D,P,1,D,D,D,2
P,F,F,D,D,D,F
2,1,1,D,D,D,2
D,D,D,D,D,D,D   
1,P,P,D,D,D,P
2,P,P,D,D,D,2
2,P,P,D,D,D,P
1,D,2,D,D,D,1
1,P,P,D,D,D,2
2,F,F,D,D,D,F
F,P,P,D,D,D,F
D,D,D,D,D,D,1
D,D,D,D,D,D,1
D,P,1,D,D,D,2
2,P,P,D,D,D,2
D,D,1,D,D,D,1
1,P,P,D,D,D,P
2,P,2,D,D,D,P
D,D,D,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
D,D,D,D,D,D,D   
1,1,P,D,D,D,P
1,D,1,D,D,D,1
D,1,D,D,D,D,1
1,1,1,D,D,D,1
2,D,P,D,D,D,P
1,D,1,D,D,D,1
2,1,2,D,D,D,2
2,2,P,D,D,D,P
1,1,D,D,D,D,1
D,D,D,D,D,D,1
2,1,P,D,D,D,P
1,D,D,D,D,D,1
P,F,F,D,D,D,F
F,F,F,D,D,D,F
D,D,2,D,D,D,1
P,P,2,D,D,D,P
P,P,P,D,D,D,F
P,D,D,D,D,D,P
2,2,P,D,D,D,P
D,D,D,D,D,D,D   
1,1,2,D,D,D,1
2,P,P,D,D,D,P
1,2,P,D,D,D,P
2,P,P,D,D,D,P
1,P,P,D,D,D,P
P,1,P,D,D,D,P
1,P,F,D,D,D,F
F,F,F,D,D,D,F
2,1,1,D,D,D,1
F,F,P,D,D,D,F
1,1,P,D,D,D,2
P,2,2,D,D,D,P
D,D,1,D,D,D,1
2,P,P,D,D,D,F
2,2,2,D,D,D,2
D,D,1,D,D,D,1
D,P,D,D,D,D,1
1,F,P,D,D,D,F
D,D,1,D,D,D,D   
1,D,D,D,D,D,1
P,F,P,D,D,D,F
D,D,D,D,D,D,D   
D,D,D,D,D,D,1
P,D,D,D,D,D,1
P,P,P,D,D,D,P
P,F,P,D,D,D,F
1,1,P,D,D,D,2
1,D,D,D,D,D,1
1,D,D,D,D,D,1
F,P,F,D,D,D,F
1,D,D,D,D,D,1
D,D,D,D,D,D,D   
1,1,P,D,D,D,2
D,D,D,D,D,D,D   
D,D,D,D,D,D,F
F,F,P,D,D,D,F
F,P,1,D,D,D,F
1,D,P,D,D,D,1
D,1,P,D,D,D,1
1,P,P,D,D,D,F
1,P,P,D,D,D,P
1,D,1,D,D,D,1
D,D,D,D,D,D,D   
1,1,2,D,D,D,1
D,D,1,D,D,D,1
F,F,P,D,D,D,F
1,D,2,D,D,D,1
N/A,N/A,N/A,N/A,N/A,N/A,F
P,P,P,D,D,D,F
P,1,2,D,D,D,2
1,D,D,D,D,D,1
D,1,P,D,D,D,1
P,P,2,D,D,D,P
D,P,P,D,D,D,P
1,D,D,D,D,D,1
D,D,D,D,D,D,1
F,P,P,D,D,D,F
P,F,P,D,D,D,F
1,1,1,D,D,D,2
D,D,1,D,D,D,1
2,1,2,D,D,D,2
D,D,D,D,D,D,D   
F,F,P,D,D,D,F
P,P,P,D,D,D,F
1,D,D,D,D,D,1
D,2,1,D,D,D,1
D,D,1,D,D,D,1
D,D,D,D,D,D,D   
F,D,D,D,D,D,F
D,D,D,D,D,D,1
P,D,D,D,D,D,1
1,D,1,D,D,D,1
D,D,D,D,D,D,1
P,F,P,D,D,D,F
P,1,2,D,D,D,2
1,P,2,D,D,D,P
P,D,P,D,D,D,2
D,D,F,D,D,D,F
1,D,2,D,D,D,1
D,D,1,D,D,D,1
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
D,D,2,D,D,D,2
N/A,N/A,N/A,N/A,N/A,N/A,F
D,P,2,D,D,D,2
F,2,P,D,D,D,F
N/A,N/A,N/A,N/A,N/A,N/A,F
P,D,D,D,D,D,P
P,P,P,D,D,D,P
P,2,D,D,D,D,2
D,D,D,D,D,D,1
P,1,2,D,D,D,2
D,1,P,D,D,D,1
D,D,D,D,D,D,1
1,P,1,D,D,D,P
D,D,D,D,D,D,1
D,1,D,D,D,D,1
F,D,D,D,D,D,F
1,D,1,D,D,D,1
P,F,P,D,D,D,F
2,P,P,D,D,D,P
P,P,P,D,D,D,P
D,2,1,D,D,D,1
D,1,2,D,D,D,1
F,P,F,D,D,D,F
D,2,2,D,D,D,2
D,P,P,D,D,D,2
F,2,P,D,D,D,F
P,F,P,D,D,D,F
F,P,P,D,D,D,F
N/A,P,2,D,D,D,F
1,1,2,D,D,D,1
F,F,F,D,D,D,F
2,1,1,D,D,D,2
2,F,P,D,D,D,F
D,1,D,D,D,D,1
1,2,1,D,D,D,2
D,F,D,D,D,D,F
P,P,P,D,D,D,P
D,D,2,D,D,D,1
1,D,1,D,D,D,2
D,P,D,D,D,D,2
D,D,D,D,D,D,D   
P,1,P,D,D,D,P
D,1,1,D,D,D,1
D,D,D,D,D,D,1
P,1,P,D,D,D,P
2,D,1,D,D,D,1
P,P,2,D,D,D,P
1,D,D,D,D,D,1
2,P,F,D,D,D,F
1,P,P,D,D,D,P
D,D,1,D,D,D,1
D,D,D,D,D,D,1
D,D,2,D,D,D,1
D,D,D,D,D,D,D   
P,P,P,D,D,D,P
1,D,D,D,D,D,1
F,D,F,D,D,D,F
2,P,F,D,D,D,F
N/A,N/A,N/A,N/A,N/A,N/A,F
P,1,P,D,D,D,P
D,D,D,D,D,D,D   
N/A,N/A,N/A,N/A,N/A,N/A,F
D,P,P,D,D,D,2
1,1,1,D,D,D,2
1,1,1,D,D,D,1
P,F,P,D,D,D,F
P,P,P,D,D,D,F
1,2,P,D,D,D,P
D,1,D,D,D,D,1
D,D,D,D,D,D,D   
F,P,P,D,D,D,F
D,D,D,D,D,D,D   
2,2,2,D,D,D,2
D,N/A,N/A,N/A,N/A,N/A,F
